t,horiz,vert
106,149.2,97.511
107,141.32,93.928
108,148.9,77.113
109,152.39,85.225
110,152.62,93.422
111,142.56,77.058
112,141.74,86.055
113,143.42,69.523
114,160.02,81.867
115,139.87,79.638
116,159.25,79.51
117,132.85,101.92
118,12.343,222.51
119,5.7549,184.15
120,4.1867,198.74
121,-0.83469,197.09
122,11.329,180.63
123,3.4512,216.67
124,6.992,203.23
125,-0.82007,212.49
126,7.0178,216.51
127,5.1467,195.07
128,12.002,207.4
129,101.83,100.7
130,97.024,101.12
131,95.41,106.24
132,101.67,106.25
133,97.993,109.97
134,107.61,118.81
135,93.658,105.56
136,101.16,123.91
137,98.588,118.72
138,182.73,198.02
139,198.53,209.44
140,198.82,202.22
141,187.68,213.29
142,206.04,211.73
143,215.53,187.13
144,177.44,207
145,118.37,218.47
146,129.4,211.94
147,122.48,202.44
148,117.28,204.22
149,117.83,202.74
150,57.376,106.55
151,60.323,92.741
152,60.5,106.81
153,66.468,87.272
154,62.253,93.962
155,64.807,105.14
156,58.967,94.786
157,55.264,99.02
158,64.256,93.542
159,70.748,100.85
160,54.07,96.966
161,58.126,89.009
162,50.938,102.26
163,71.271,101.13
164,73.349,100.48
165,64.464,91.649
166,73.299,97.855
167,56.887,94.085
168,44.923,96.163
169,76.747,87.128
170,69.076,92.171
171,84.329,99.916
172,60.871,72.694
173,63.754,95.437
174,81.995,93.622
175,72.234,101.96
176,83.416,93.784
177,72.562,104.16
178,67.362,92.047
179,79.105,80.48
180,65.755,122.83
181,60.797,100.34
182,74.748,94.373
183,58.514,101.91
184,64.41,86.876
185,63.463,89.451
186,57.204,94.066
187,71.195,85.155
188,75.976,90.198
189,52.756,99.377
190,66.561,99.39
191,69.252,83.576
192,52.982,94.108
193,71.381,94.186
194,68.921,101.05
195,58.711,92.319
196,62.257,93.561
197,73.221,91.429
198,70.544,70.279
199,74.791,89.303
200,70.622,87.713
201,69.082,108.66
202,62.668,101.07
203,67.836,80.294
204,65.99,94.584
205,77.317,74.446
206,83.459,104.09
207,60.335,95.595
208,82.075,92.217
209,60.329,95.44
210,69.069,86.776
211,72.427,93.111
212,57.928,91.404
213,112.64,233.79
214,112.22,237.45
215,105.18,213.53
216,124.08,238.98
217,120.27,214.76
218,139.38,237.58
219,137.8,238.35
220,137.83,217.55
221,111.7,220.1
222,128.9,223.15
223,199.2,91.092
224,199.35,106.36
225,199.7,86.592
226,197.11,81.221
227,205.83,94.066
228,179.71,94.461
229,176.44,79.458
230,182.97,112.39
231,196.4,91.112
232,191.54,81.064
233,112.54,317.26
234,96.349,337.1
235,109.38,343.26
236,89.445,336.48
237,98.123,332.89
238,119.27,335.09
239,102.57,315.7
240,107.89,341.94
241,110.14,105.57
242,102.12,107.59
243,100.66,93.631
244,95.489,88.979
245,131.1,248.15
246,101.04,234.35
247,116.03,245.83
248,123.81,234.81
249,113.66,228.56
250,129.42,231.24
251,128.02,247.65
252,109.57,242.58
253,113.89,245.21
254,129.62,218.07
255,113.81,268.57
256,110.19,217.13
257,102.76,239.73
258,119.46,227.67
259,121.64,228.38
260,131.2,228.78
261,114.1,223.27
262,96.643,221.7
263,125.06,220.98
264,102.47,239.82
265,102.76,209.47
266,109.41,223.64
267,108.8,227.85
268,117.84,209.84
269,114.11,214.43
270,119.24,217.41
271,126.48,236.9
272,107.82,224.67
273,113.09,238.69
274,124.55,222.1
275,107.29,234.24
276,119.67,220.49
277,106.21,237.59
278,114.07,235.18
279,134.15,235.96
280,115.19,236.91
281,113.87,203.44
282,121.77,228.23
283,111.68,233.32
284,135.53,224.81
285,109.56,222.98
286,122.49,245.52
287,117.4,233.66
288,113.03,233.05
289,117.72,238.43
290,95.291,229.08
291,129.55,233.02
292,113.17,240.4
293,115.25,229.4
294,117.62,232.08
295,108.41,213.41
296,120.66,213.58
297,112.72,228.42
298,115.86,227.24
299,125.93,233.79
300,108.31,232.06
301,106.74,233.93
302,116.16,229.25
303,116,231.44
304,125.94,224.52
305,106.75,232.77
306,111.86,216.74
307,105.73,229.3
308,114.72,226.59
309,127.17,221.07
310,122.04,222.48
311,115.37,227.01
312,126.63,212.58
313,103.48,224.48
314,124.8,228.53
315,185.07,161.33
316,183.36,146.79
317,175.98,156.18
318,189.29,164.25
319,173.75,170.82
320,171.41,166.67
321,191.41,162.39
322,183.53,168.87
323,170.72,163.15
324,173.31,164.53
325,190.12,169.44
326,179.02,165.65
327,130.69,91.456
328,147.61,83.803
329,127.7,80.623
330,120.82,80.238
331,126.72,92.767
332,137.63,86.926
333,124.14,108.74
334,123.26,81.194
335,128.33,81.265
336,151.44,67.155
337,137.76,80.321
338,117.97,78.023
339,125.47,82.487
340,132.82,85.194
341,139.11,83.821
342,129.51,64.076
343,124.06,75.288
344,135.07,91.359
345,108.51,70.814
346,136.04,82.991
347,132.04,72.324
348,130.07,66.835
349,122.92,82.639
350,131.19,88.949
351,111.98,89.38
352,126.84,92.087
353,133.18,80.205
354,141.48,98.45
355,128.87,92.104
356,143.58,96.857
357,128.46,91.465
358,118.9,83.002
359,143.3,94.48
360,126.74,98.997
361,133.89,87.453
362,111.45,97.968
363,136.99,67.788
364,124.72,86.368
365,127,87.299
366,145.31,66.008
367,145.89,84.163
368,110.65,77.903
369,131.28,71.346
370,127.06,94.131
371,132.53,76.585
372,0.22186,184
373,-16.25,215.35
374,122.21,225.22
375,109.79,236.68
376,100.8,239.01
377,124.46,211.17
378,100.25,211.3
379,96.314,212.77
380,100.88,199.36
381,138.12,228.37
382,117.12,223.5
383,107,205.28
384,110.66,218.67
385,95.283,232.8
386,102.25,228.68
387,100.89,202.02
388,101.2,229.21
389,108.46,203.73
390,96.972,210.15
391,117.7,226.45
392,99.459,224.31
393,110.03,219.52
394,93.249,235.62
395,120.5,235.92
396,103.82,225.95
397,112.2,220.51
398,127.14,218.46
399,122.13,223.62
400,97.372,219.75
401,130.65,232.98
402,120.94,235.97
403,112.39,211.33
404,118.23,217.44
405,88.022,218.36
406,105.35,79.54
407,88.19,80.784
408,87.198,85.351
409,97.316,88.633
410,122.83,92.6
411,86.372,93.439
412,108.49,85.054
413,117.97,102.45
414,111.63,106.71
415,104.76,99.656
416,118.67,99.892
417,117.1,70.91
418,112.12,86.967
419,113.06,100.69
420,104.79,106.27
421,121.33,91.065
422,81.948,84.334
423,94.043,88.825
424,91.858,83.067
425,95.029,78.399
426,89.493,83.167
427,96.679,82.056
428,110.27,86.826
429,110.55,81.186
430,95.319,89.526
431,87.536,85.584
432,103.53,87.92
433,116.23,105.21
434,102.11,102.3
435,111.43,99.565
436,99.134,93.069
437,105.28,92.083
438,97.915,93.479
439,128.63,99.433
440,101.19,87.545
441,103.15,101.84
442,109.41,88.746
443,83.376,93.705
444,89.749,211.61
445,79.516,207.65
446,98.692,222.7
447,77.69,211.78
448,97.444,229.05
449,94.472,233.19
450,74.518,196.06
451,79.507,209.18
452,84.219,210.5
453,72.766,212.25
454,71.098,230.99
455,80.191,196.85
456,67.471,217.33
457,89.145,194.52
458,80.328,207.77
459,92.66,209.41
460,80.07,217.24
461,89.28,200.62
462,81.876,201.26
463,92.52,229.82
464,71.577,222.82
465,79.633,209.77
466,81.24,220.69
467,64.044,196.97
468,76.271,204.68
469,83.894,224.39
470,85.643,211.96
471,95.582,201.65
472,78.512,199.34
473,65.344,222.83
474,87.596,212.96
475,72.875,209.82
476,141.65,278.22
477,134.24,287.72
478,162.38,293.73
479,133.77,296.04
480,140.66,294.62
481,141.93,281.83
482,161.76,299.56
483,144.43,283.51
484,140.34,298.75
485,146.39,296.17
486,140.6,297.72
487,155.79,303.27
488,133.11,291.42
489,162.07,292.83
490,172.22,47.017
491,182.46,73.882
492,171.31,63.671
493,112.58,203.52
494,162.76,269.12
495,163.16,267.65
496,168.55,276.28
497,175.94,273.13
498,184.67,253.29
499,181.01,264.4
500,157.7,280.44
501,166.04,275.05
502,161.02,257.54
503,174.55,257.12
504,168.58,258.73
505,187.66,278.74
506,156.52,264.5
507,159.7,265.97
508,162.13,266.88
509,173.17,279.09
510,173.94,265.78
511,156.55,265.22
512,164.41,281.46
513,153.06,281.53
514,170.79,257.01
515,178.63,265.35
516,175.51,280.93
517,161.33,252.98
518,159.26,261.52
519,172.25,270.57
520,196.84,273.09
521,175.8,290.16
522,179.16,262.43
523,160.35,260.66
524,178.66,258.49
525,89.98,94.111
526,100.55,86.394
527,111.12,100.67
528,93.035,79.512
529,97.144,83.147
530,92.096,79.994
531,102.3,74.5
532,103.08,103.11
533,101.62,116.89
534,108.7,86.226
535,117.51,91.402
536,87.915,87.945
537,95.943,91.41
538,105.96,92.767
539,109.51,86.679
540,118.9,94.104
541,111.81,91.592
542,130.45,108.56
543,99.213,109.93
544,118.72,91.006
545,137.97,100.56
546,108,96.818
547,125.5,245.02
548,114.08,219.34
549,124.5,247.15
550,113.25,231.66
551,103.58,221.23
552,122.99,227.39
553,123.58,227.69
554,122.03,221.32
555,114.4,234.54
556,126.92,222.67
557,113.07,219.46
558,129.86,245.99
559,119.55,218.33
560,114.32,218.61
561,128.83,236.47
562,127.35,225.72
563,131.34,218.48
564,117.37,223.32
565,101.12,206.59
566,125.5,220.99
567,123.21,220.75
568,117.47,215.43
569,121.99,215.98
570,107.87,217.73
571,119.14,222.28
572,123.87,230.69
573,107.78,211.86
574,100.06,226.57
575,117.59,209.54
576,115.69,212.99
577,103.76,203.07
578,102.77,210.46
579,114.13,221.64
580,131.29,218.62
581,123.34,210.97
582,131.76,203.79
583,97.788,231.29
584,98.393,200.15
585,114.4,217.19
586,136.18,222.68
587,119.57,225.94
588,106.43,203.52
589,99.779,229.86
590,101.43,227.44
591,106.06,209.06
592,107.68,221.18
593,105.07,212.01
594,119.35,202.63
595,100.78,214.62
596,120.55,207.18
597,111.31,215.94
598,98.603,224.54
599,121.16,197.68
600,103.86,229.01
601,103.68,221.38
602,132.84,218.82
603,118.73,231.04
604,119.41,198.13
605,124.64,219.29
606,114.92,224.58
607,142.45,211.14
608,111.23,216.68
609,134.22,233.37
610,135.23,215.96
611,115.03,218.32
612,127.88,207.7
613,129.23,218.05
614,130.41,200.27
615,129.29,210.19
616,148.67,193.6
617,119.51,227.6
618,104.42,215.64
619,102.48,213.83
620,127.55,224.62
621,132.39,205.53
622,119.06,217.9
623,112.18,224.91
624,111.81,203.6
625,105.89,233.16
626,121.7,208.69
627,94.566,233.72
628,125.54,227.18
629,102.96,222.39
630,100.9,220.26
631,127.18,221.33
632,127.04,211.49
633,109.29,231.37
634,106.61,228.18
635,115.49,224.21
636,114.21,233.47
637,114.02,238.03
638,116.02,207.84
639,127.8,203.99
640,117.38,224.45
641,115.6,198.51
642,120.57,231.6
643,119.55,222.7
644,124.88,213.15
645,127.17,209.87
646,99.436,228.08
647,130.01,205.19
648,124.36,238.16
649,127.1,206.75
650,111.11,219.46
651,129.92,217.12
652,111.1,220.33
653,118.7,221.9
654,109.75,209.58
655,128.63,221.12
656,129.6,207.34
657,137.04,78.081
658,153.52,85.528
659,143.65,103.45
660,134.38,74.528
661,139.55,97.465
662,148.71,77.277
663,143.71,87.048
664,154.26,63.822
665,138.47,80.008
666,125.02,87.201
667,122.57,84.708
668,154.36,85.432
669,141.03,92.363
670,130.5,77.595
671,141.17,70.196
672,131.36,91.38
673,143.02,97.886
674,138.99,95.712
675,131.89,92.34
676,132.53,80.043
677,130.86,97.937
678,141.98,77.607
679,152.09,69.658
680,152.92,89.657
681,148.87,67.139
682,151.36,81.085
683,147.66,101.73
684,148.33,81.253
685,152.57,99.248
686,132.19,96.194
687,148.01,96.257
688,92.335,322.84
689,84.04,331.22
690,77.56,334.51
691,77.901,319.04
692,80.099,331.38
693,71.099,342.33
694,77.658,324.24
695,65.148,309.14
696,79.498,318.84
697,75.867,343.66
698,94.296,320.41
699,72.19,335.31
700,92.356,340.16
701,87.674,309.56
702,76.174,325.76
703,85.6,320.21
704,61.933,337.1
705,81.265,319.22
706,97.586,321.31
707,87.267,341.9
708,85.829,310.92
709,78.806,319.82
710,98.921,341.59
711,89.457,320.87
712,89.447,320.58
713,85.582,352.64
714,74.919,319.62
715,90.54,314.6
716,82.919,328.93
717,81.93,337.04
718,85.095,317.54
719,110.19,338.16
720,176.72,207.28
721,180.6,212.2
722,170.94,210.86
723,177.72,207.77
724,176.97,213.07
725,173.3,219.59
726,172.22,237.51
727,171.69,228.15
728,111.46,31.382
729,110.56,58.281
730,118.44,38.212
731,125.87,38.763
732,121.75,43.7
733,104.15,48.077
734,119.66,48.312
735,120.46,40.63
736,112.95,63.334
737,124.51,39.784
738,91.331,29.547
739,116.3,41.11
740,100.18,37.207
741,111.8,30.321
742,112.08,48.079
743,100.41,49.371
744,81.954,84.885
745,71.974,75.351
746,90.359,70.056
747,70.145,79.181
748,72.844,89.764
749,92.407,96.528
750,76.963,80.921
751,70.315,91.03
752,75.977,88.592
753,82.234,88.395
754,65.801,78.665
755,65.025,75.137
756,64.26,95.025
757,71.432,88.238
758,70.97,78.096
759,59.273,86.277
760,64.023,73.929
761,84.74,78.693
762,54.163,89.511
763,126.22,224.57
764,139.88,224.86
765,110.49,224.22
766,139.67,222.7
767,135.83,206.83
768,120.17,239.55
769,140.82,234.84
770,131.44,206.97
771,135.71,217.56
772,108.38,202.87
773,121.09,206.01
774,118.73,199.25
775,116.56,222.74
776,122.74,208.58
777,131.48,82.092
778,122.66,94.347
779,120.58,106.29
780,126.88,83.261
781,126.92,88.886
782,127.94,92.931
783,126.33,100.89
784,122.97,97.678
785,119.71,81.432
786,125.36,95.373
787,127.59,89.034
788,131.58,86.691
789,121.63,88.932
790,127.37,110.37
791,119.72,82.267
792,112.54,100.59
793,129.1,95.94
794,130.41,96.367
795,113.9,78.183
796,114.84,92.22
797,119.39,90.596
798,127.63,90.883
799,111.06,92.15
800,140.55,84.352
801,128.43,83.321
802,137.74,82.723
803,134.22,104.92
804,103.82,84.886
805,139.6,102.27
806,141.21,81.933
807,104.52,185.85
808,88.579,185.78
809,91.361,187.2
810,95.744,182.42
811,90.163,195.88
812,100.26,183.69
813,114.91,178.39
814,115.77,188.4
815,96.18,161.33
816,103.95,183.42
817,105.88,179.69
818,35.861,86.624
819,11.034,82.375
820,24.103,85.868
821,27.835,109.38
822,37.652,107.39
823,36.484,85.779
824,23.567,103.26
825,27.009,103.81
826,20.352,89.069
827,24.658,92.524
828,80.925,84.108
829,81.911,80.669
830,65.546,75.278
831,55.523,91.029
832,178.32,91.487
833,184.01,99.506
834,177.08,87.584
835,188.16,86.055
836,99.781,71.292
837,87.35,83.981
838,95.781,92.078
839,115.54,92.667
840,101.25,77.73
841,106.7,86.874
842,118.04,87.574
843,114.71,91.551
844,98.121,98.904
845,114.91,81.149
846,119.96,93.603
847,99.918,81.856
848,117.92,102.4
849,107.62,81.605
850,92.066,93.903
851,98.048,107.1
852,124.32,92.709
853,108.88,96.615
854,102.62,95.43
855,96.026,70.258
856,100.55,80.449
857,114.74,87.414
858,123.08,66.9
859,93.954,103.34
860,104.01,75.912
861,100.48,83.693
862,99.646,88.342
863,118.85,87.451
864,93.889,90.939
865,112.29,95.279
866,102.21,81.53
867,105.89,97.392
868,110.33,92.241
869,97.568,89.433
870,112.23,66.883
871,91.708,89.275
872,115.18,94.682
873,107.1,109.04
874,113.03,88.209
875,122.1,85.749
876,84.47,91.573
877,115.57,82.238
878,94.869,81.689
879,108.73,80.968
880,97.268,223.61
881,92.909,221.41
882,90.527,223.36
883,72.071,208.04
884,73.327,202.14
885,82.451,196.5
886,79.114,223.11
887,78.699,230.6
888,86.036,217.52
889,78.114,209.99
890,78.666,234.49
891,82.9,222.57
892,86.415,225.04
893,73.25,207.2
894,85.936,212.44
895,78.345,213.81
896,87.598,220.51
897,71.072,215.64
898,74.531,248.08
899,68.795,216.35
900,71.873,207.2
901,92.092,228.51
902,79.203,215.05
903,85.429,215.18
904,71.377,220.41
905,93.761,217.75
906,82.237,215.07
907,74.076,214.13
908,94.959,275.18
909,98.766,268.71
910,90.191,266.54
911,109.76,261.16
912,104.06,243.69
913,110.45,242.33
914,94.147,253.8
915,108.58,262.06
916,113.07,272.27
917,101.63,260.12
918,90.875,263.92
919,130.9,331.42
920,118.33,324.05
921,133.86,305.17
922,124.14,310.05
923,127.9,319.06
924,128.85,324.17
925,104.4,304.62
926,123.61,175.83
927,117.85,178.45
928,112.06,193.98
929,107.72,215.01
930,102.37,198.51
931,115.23,201.24
932,127.73,211.05
933,119.88,208.95
934,105.97,204.78
935,95.969,204.18
936,137.01,205.87
937,135.72,77.959
938,124.98,59.958
939,129.42,100.87
940,120.01,95.868
941,123.15,90.452
942,102.87,80.962
943,109.23,81.89
944,128.77,100.54
945,138.06,98.174
946,133.69,90.083
947,121.69,78.012
948,130.47,90.065
949,118.99,90.487
950,113.69,105.87
951,111.01,93.392
952,110.83,89.708
953,112.88,96.306
954,122.98,96.842
955,122.86,84.784
956,118.49,76.707
957,122.09,92.939
958,127.6,89.971
959,121,111.57
960,118.75,92.356
961,138.88,90.114
962,119.97,98.825
963,110.44,101.44
964,140.57,88.761
965,143.55,92.725
966,115.47,99.293
967,113.07,86.078
968,119.55,91.437
969,115.6,93.782
970,105.58,96.751
971,107.83,237.13
972,108.87,225.81
973,99.808,219.51
974,101.23,217
975,93.289,232.12
976,108.03,220.29
977,113.65,205.31
978,110.81,220.2
979,122.25,232.67
980,114.69,230.57
981,122.07,227.86
982,102.56,216.83
983,117.84,223.57
984,108.94,215.03
985,89.406,233.29
986,100.02,220.66
987,107.57,225.14
988,116.26,231.68
989,107.06,223.05
990,111.77,243.42
991,104.91,227.15
992,104.83,243.26
993,106.31,236.59
994,109.41,242.75
995,101.8,234.13
996,94.447,228.62
997,106.85,221.98
998,120.3,246.51
999,112.93,223.32
1000,106.97,222.71
