t,horiz,vert
559,137.22,119.22
560,133.1,133.86
561,132.75,127.8
562,123.93,112.44
563,63.443,93.834
564,63.354,54.91
565,70.325,82.348
566,68.433,85.65
567,65.711,97.386
568,67.069,66.45
569,55.61,67.711
570,65.743,74.963
571,56.703,65.873
572,71.347,85.361
573,78.216,82.512
574,55.996,107.03
575,52.443,78.239
576,50.051,82.415
577,82.366,75.529
578,64.572,73.968
579,62.014,73.881
580,74.186,85.574
581,71.393,63.917
582,62.185,84.677
583,71.967,74.515
584,69.245,75.081
585,45.853,70.406
586,59.324,85.941
587,67.488,81.239
588,76.336,68.454
589,62.589,68.691
590,71.711,86.957
591,48.53,81.602
592,60.698,69.953
593,58.973,91.657
594,56.532,79.469
595,64.607,80.643
596,86.808,77.861
597,49.692,72.87
598,68.996,68.184
599,56.749,76.331
600,77.851,74.211
601,73.335,62.071
602,56.389,78.791
603,59.46,90.264
604,72.002,76.872
605,60.272,74.86
606,55,74.23
607,65.994,92.278
608,53.733,96.435
609,50.59,79.121
610,65.516,79.981
611,74.138,95.028
612,73.248,86.688
613,55.228,78.984
614,66.108,84.333
615,65.041,89.511
616,77.865,67.048
617,60.346,71.976
618,43.932,86.129
619,68.783,80.42
620,66.701,62.322
621,71.097,97.278
622,58.502,89.932
623,57.915,80.525
624,56.575,98.112
625,59.879,69.795
626,61.078,72.208
627,83.599,62
628,72.825,95.635
629,42.95,78.417
630,69.575,97.529
631,61.977,72.817
632,37.276,60.178
633,64.956,86.318
634,67.349,64.219
635,69.701,73.99
636,64.375,93.594
637,55.291,91.514
638,57.985,79.859
639,63.692,91.288
640,66.049,90.995
641,89.269,68.682
642,49.013,64.829
643,69.413,79.56
644,68.717,65.067
645,67.093,95.736
646,56.453,71.904
647,59.725,78.573
648,70.99,78.86
649,49.05,91.942
650,67.879,54.891
651,56.274,83.909
652,61.103,85.048
653,66.039,86.603
654,69.818,57.708
655,65.255,78.386
656,47.705,94.708
657,166.86,196.96
658,159.13,193.92
659,165.05,193.04
660,169.95,214.45
661,168.77,204.62
662,143.16,191.71
663,145.48,199.22
664,158.86,191
665,163.61,192.82
666,151.18,189.13
667,168.4,233.63
668,163.48,200.34
669,161.05,182.43
670,178.64,201.39
671,170.85,196.14
672,165.38,191.05
673,179.26,201.67
674,166.84,206.22
675,180.39,208.98
676,158.9,191.9
677,155.03,198.86
678,161.93,194.85
679,177.83,203.35
680,149.06,200.59
681,165.18,194.4
682,162.52,216.74
683,152.81,198.37
684,144.27,210.35
685,154.14,199.03
686,151.76,200.06
687,165.46,209.22
688,165.35,16.276
689,185.61,13.718
690,183.05,20.489
691,188.31,-2.1326
692,199.95,25.747
693,198.65,17.596
694,192.94,14.483
695,181.94,17.689
696,190.56,-3.3009
697,197.26,4.7659
698,169.52,23.653
699,187.2,14.025
700,191.77,19.374
701,192.21,4.5555
702,195.87,25.027
703,190.6,16.978
704,200.73,22.416
705,190.7,14.493
706,188.53,17.858
707,201.49,21.944
708,208.47,36.022
709,181.97,1.2092
710,189.44,20.21
711,175.87,13.177
712,204.17,18.888
713,186.3,15.439
714,199.82,13.06
715,185.37,22.779
716,177.65,13.643
717,171,16.396
718,198.25,39.007
719,184.91,16.518
720,85.099,223.61
721,79.369,229.91
722,88.214,230.96
723,75.234,208.69
724,112.67,235.9
725,100.97,231.02
726,93.275,219.42
727,90.401,195.01
728,125.24,220.49
729,119.13,196.4
730,128.69,206.74
731,125.39,216.87
732,121.61,204.57
733,135.37,186.87
734,119.03,229.49
735,113.8,207.14
736,119.9,200.39
737,111.21,208.33
738,123.56,198.37
739,105.77,217.66
740,130.73,206.58
741,98.228,213.16
742,106.73,194.85
743,114.57,215.32
744,175.7,137.5
745,174.56,128.98
746,178.68,128.43
747,164.61,131.51
748,176.46,140.8
749,162.4,147.42
750,180.4,143.81
751,181.23,145.71
752,154.86,147.07
753,173.31,128.44
754,163.72,136.52
755,164.26,128.49
756,176.55,132.36
757,154.46,131.47
758,173.18,136.26
759,165.31,156.5
760,176.33,150.89
761,163.82,136.99
762,176.68,122.41
763,66.384,141.74
764,87.907,120.02
765,72.141,149.38
766,91.603,137.49
767,64.927,137.47
768,56.462,133.71
769,64.338,135.59
770,72.034,142.36
771,88.558,204.94
772,114.44,197.98
773,103.77,208.07
774,95.686,210.47
775,119.07,226.25
776,97.216,219.1
777,105.1,193.98
778,86.31,206.35
779,93.301,202.13
780,88.555,205.1
781,97.039,213.81
782,121.13,207.26
783,95.098,207.9
784,82.136,204.84
785,104.66,208.24
786,88.198,199.28
787,86.617,192.66
788,86.899,205.99
789,98.676,225.82
790,84.84,213.3
791,88.574,204.4
792,93.054,206.45
793,92.796,226.2
794,89.672,190.49
795,103.68,218.05
796,85.694,216.65
797,81.567,222.36
798,105.78,203.02
799,90.794,209.31
800,99.384,210.4
801,83.748,198.64
802,69.34,214.08
803,110.31,187.19
804,89.406,224.63
805,164.6,194.61
806,171.53,230.83
807,82.224,81.438
808,99.261,89.929
809,63.326,77.564
810,91.831,103.57
811,82.36,90.435
812,82.009,102.65
813,84.582,117.9
814,65.82,96.376
815,74.085,87.903
816,91.146,95.232
817,60.359,84.066
818,115.5,325.48
819,102.43,288.41
820,103.12,303.01
821,104.16,299.9
822,104.86,280.71
823,110.84,290.22
824,96.854,306.48
825,111.65,301.49
826,99.645,307.25
827,111.11,309.47
828,41.101,229.7
829,60.309,205.07
830,39.289,222.8
831,50.839,210.06
832,15.8,237.45
833,19.403,230.13
834,32.376,221.47
835,14.037,221.08
836,111.43,34.268
837,135.09,43.508
838,131.26,46.355
839,133.33,17.242
840,118.31,41.377
841,117.46,34.481
842,146.28,50.667
843,112.53,35.769
844,111.04,35.618
845,125.31,39.136
846,127.91,38.306
847,128.77,34.101
848,123.46,41.755
849,138.23,52.867
850,117.58,41.792
851,133.97,50.429
852,132.29,52.449
853,116.69,50.056
854,110.79,38.476
855,141.64,34.889
856,136.22,40.415
857,125.15,27.753
858,109.26,30.185
859,117,31.209
860,131.99,25.396
861,105.84,37.41
862,129.48,40.447
863,106.68,38.919
864,126.26,50.619
865,113.78,26.759
866,121.26,38.615
867,129.39,53.868
868,138.37,24.851
869,122.99,13.515
870,142.92,27.535
871,130.45,30.172
872,125.6,22.381
873,114.74,33.354
874,133.15,47.743
875,134.53,36.012
876,119.51,44.227
877,108.56,34.317
878,109.52,22.311
879,114.23,50.455
880,99.267,202.73
881,91.098,185.08
882,109.57,206.2
883,115.57,204.01
884,115.67,187.99
885,114.59,193.84
886,112.64,193.18
887,105.1,194.69
888,99.861,198.57
889,106.49,196.32
890,97.499,198.99
891,116.34,188.23
892,104.73,180.17
893,105,189.32
894,90.951,210.56
895,104.97,173.56
896,112.29,200.42
897,123.76,185.68
898,83.371,205.23
899,114.83,180.28
900,110.44,185.11
901,98.165,200.52
902,107.2,190.22
903,101.89,182.52
904,124.82,189.23
905,112,184.08
906,113.83,179.85
907,97.248,199
908,112.4,145.62
909,109.48,139.6
910,111.43,138.28
911,122.19,136.94
912,108.89,140.79
913,115.22,138.16
914,125.27,142.67
915,119.05,121.15
916,115.82,132.76
917,118.78,145.87
918,106.14,134.18
919,89.052,71.613
920,86.637,76.314
921,78.745,98.182
922,77.239,93.006
923,79.825,99.534
924,82.581,79.713
925,75.817,81.926
926,99.666,234.57
927,83.615,229.9
928,85.989,218.22
929,133.86,221.05
930,144,233.29
931,156.12,236.97
932,138.24,216.22
933,152.76,235.85
934,154.61,235.77
935,149.49,215.69
936,160.24,233.19
937,93.292,85.879
938,94.26,99.369
939,98.583,116.83
940,78.512,70.691
941,89.02,101.76
942,99.289,97.647
943,99.607,103.26
944,104.75,87.058
945,95.526,94.294
946,105.85,93.327
947,113.61,98.498
948,92,83.041
949,92.376,93.991
950,114.24,89.052
951,109.62,100.45
952,90.305,83.574
953,103.53,98.427
954,105.27,102.97
955,105.34,100.8
956,110.13,87.125
957,103.62,111.82
958,100.99,100.33
959,112.32,96.088
960,92.989,84.482
961,96.631,99.406
962,135.15,81.518
963,146.41,92.097
964,136.62,89.004
965,166.28,89.071
966,125.94,91.737
967,144.34,95.241
968,135.8,71.471
969,142.72,94.228
970,150.23,107.12
971,93.836,211.31
972,81.237,217.46
973,100.54,222.17
974,78.337,212.23
975,96.607,212.39
976,97.772,213.07
977,89.334,234.83
978,86.235,199.16
979,118.42,218.49
980,88.784,223.11
981,106.15,225.18
982,78.721,221.83
983,106.65,217.92
984,114.49,212.78
985,106.31,221.85
986,79.697,208.14
987,91.506,223.67
988,110.19,205.14
989,106.6,221.93
990,97.182,226.7
991,107.13,230.95
992,100.44,222.88
993,91.856,223.46
994,98.115,202.33
995,93.359,208.19
996,103.32,225.6
997,116.56,214.52
998,118.92,196.86
999,113.15,227.8
1000,81.184,217.69
